layer,regime_proxy,events,median_trim3_r2,median_early3_drop_share,median_post3_loss_storage_corr,median_post3_loss_cv,median_mean_loss_mm_h,median_vpd_kpa,layer_label,regime_label
moisture_4in,stage-II-like,2408,0.9951980180529014,0.35933543826862857,0.6461161435752364,0.4968127412460296,0.19998689999999997,1.1784999999999997,4 in,Stage-II-like
moisture_4in,stage-I-like,338,0.986527954754568,0.2555723708533303,0.03883142839034865,0.42073950953818745,0.18794877824978756,0.9605266203703704,4 in,Stage-I-like
moisture_4in,early-transient-heavy,1333,0.963524151399996,1.0,-0.3006044533250294,0.618556170378103,0.5064369230769231,0.24105263157894735,4 in,Early transient
moisture_4in,mixed_or_uncertain,197,0.9617521586960363,0.1333333333333337,-0.259716296990837,0.5491512289621011,0.177074285714286,0.8807074954296161,4 in,Mixed/uncertain
moisture_8in,stage-II-like,485,0.9964240959341618,0.4266666666666665,0.7023194511489306,0.535893889386185,0.2153920000000002,0.6284273504273504,8 in,Stage-II-like
moisture_8in,stage-I-like,58,0.9916843924036551,0.3311910882604968,0.0422054757411055,0.42578098398165587,0.19583400000000006,1.0648180112570356,8 in,Stage-I-like
moisture_8in,early-transient-heavy,426,0.9644090407196251,1.0,-0.2334412680526784,0.7089565172298453,0.3437134640522874,0.23563333333333325,8 in,Early transient
moisture_8in,mixed_or_uncertain,45,0.9787134047586584,0.2044871794871795,-0.0640556186326689,0.8719843192106342,0.2122311111111109,0.7912641509433963,8 in,Mixed/uncertain
moisture_12in,stage-II-like,203,0.9964308327559244,0.4524699045246995,0.7324975996102485,0.5824065933692703,0.2509078260869561,0.5319724596391263,12 in,Stage-II-like
moisture_12in,stage-I-like,33,0.9898878454202692,0.3925233644859781,0.0436345692808211,0.4364333878303367,0.2105890909090912,0.9515384615384614,12 in,Stage-I-like
moisture_12in,early-transient-heavy,371,0.9610884990344108,1.0,-0.3132307369388224,0.7309610764592991,0.4064000000000021,0.33232121212121213,12 in,Early transient
moisture_12in,mixed_or_uncertain,17,0.9705695238209965,0.2424242424242386,-0.23391120386903705,0.9860847414473088,0.1909134883720931,0.7949629629629631,12 in,Mixed/uncertain
moisture_16in,stage-II-like,122,0.9973859358558954,0.4628375188202646,0.8465286986302668,0.6063720758213103,0.2568867480577136,0.4633012873754153,16 in,Stage-II-like
moisture_16in,stage-I-like,12,0.9901282832578391,0.496756152125279,-0.01259406494318675,0.42379884361988135,0.2398940108892922,0.30864037558685453,16 in,Stage-I-like
moisture_16in,early-transient-heavy,490,0.9313018050772854,1.0,-0.4919629516512511,0.717740562565268,0.5858933333333334,0.5785833333333334,16 in,Early transient
moisture_16in,mixed_or_uncertain,10,0.7465754571742349,0.19347094038413487,-0.2898672945961654,2.581390805307519,0.2805288888888888,1.0628982142857142,16 in,Mixed/uncertain
moisture_20in,stage-II-like,74,0.9929944991186925,0.6753825688246503,0.8266450363556864,0.7183577837743671,0.2822404853387259,0.43752777777777774,20 in,Stage-II-like
moisture_20in,stage-I-like,8,0.9955458380712012,0.47916529704380545,0.08802725874828846,0.2641840317848736,0.20070074866310134,1.2519842105263157,20 in,Stage-I-like
moisture_20in,early-transient-heavy,508,0.9764193186096772,1.0,-0.10065717172821735,0.7424234614174335,0.7315199999999985,0.47825000000000006,20 in,Early transient
moisture_20in,mixed_or_uncertain,9,0.8879642149416355,0.2076190476190476,-0.0286532852668595,1.5079482452231645,0.230293333333333,0.7980499999999999,20 in,Mixed/uncertain
