decision_level,candidate,enter_localized_segmented_csr,recommended_use,implementation,rationale
event subset,all detected SMDEs,no,Sensitivity or diagnostic comparison only,subset == all_events,Includes events without rainfall validation and events interrupted by rain; useful for showing why the audit filter matters.
event subset,rainfall-associated clean events,sensitivity,Rainfall-validation sensitivity analysis,associated_48h and not interrupted_by_rain,Confirms that events are tied to FAWN precipitation but still mixes loss-function regimes.
event subset,rainfall-associated clean and stage-II-like events,yes,Main localized segmented CSR event pool,associated_48h and not interrupted_by_rain and regime_proxy == stage-II-like,"This is the manuscript-safe subset: rainfall-validated, not rain-interrupted, and storage-limited by the loss-function diagnosis."
event subset,stage-I-like events,no,Loss-function diagnostic only,regime_proxy == stage-I-like,Stage-I drying is approximately atmospheric-demand controlled and is not appropriate for the storage-dependent CSR calibration.
event subset,early-transient-heavy events,no,Quality-control diagnostic; do not use for main CSR,regime_proxy == early-transient-heavy,"These events are dominated by early redistribution, drainage, runoff, or sensor adjustment rather than sustained storage-limited loss."
event subset,mixed or uncertain events,no,Quality-control diagnostic only,regime_proxy == mixed_or_uncertain,Regime identity is not strong enough to support a local CSR calibration.
segment,early_0_3h,"yes, separate segment",Report separately as the post-wetting transient segment,t_h < 3 h within clean_stageII_48h events,"Can be modeled locally, but should not be pooled with the storage-dependent post-3 h segments."
segment,post3_mid_storage,yes,Primary storage-dependent local CSR segment,t_h >= 3 h and event_storage_norm >= 0.25,This is the clearest post-transient storage-dependent interval for localized CSR.
segment,post3_late_storage,"yes, cautious",Low-storage tail; include but interpret as availability-limited/noise-sensitive,t_h >= 3 h and event_storage_norm < 0.25,"Useful for the tail of the local CSR curve, but low-storage noise and slow loss can dominate."
local support,location-layer-segment fit,yes if supported,Fit local curve only when both thresholds are met,>= 8 events and >= 40 points,Keeps the localized CSR from being driven by very small site-layer-segment samples.
