layer,segment,subset,local_models,median_events_per_model,total_points,median_rmse_mm,mean_rmse_mm,median_mae_mm,mean_mae_mm,median_bias_mm,mean_bias_mm,layer_label,segment_label,segment_short,recommended_use
moisture_4in,early_0_3h,clean_stageII_48h,30,44.0,17127,0.6885409301583661,0.981591510334782,0.4330561393750958,0.5702510874562859,0.0885567093585494,0.1394013677975646,4 in,"Early transient, 0-3 h",Early,main-text robust
moisture_4in,post3_mid_storage,clean_stageII_48h,28,36.5,17823,0.6480194645618134,0.7494483911794497,0.4380942878542448,0.4617824125760005,0.0042804609856057,-0.0351181968919794,4 in,Post-3 h mid-storage,Mid-storage,main-text robust
moisture_4in,post3_late_storage,clean_stageII_48h,30,44.0,24488,0.4497873961426634,0.5833846715950405,0.2509112740431701,0.3090900294574953,0.0152195720141808,-0.0096179569522322,4 in,Post-3 h low-storage tail,Low-storage,main-text robust
moisture_8in,early_0_3h,clean_stageII_48h,10,16.0,1836,0.6261903387744516,0.6300312784136468,0.4276347584531584,0.4330159685638107,0.0589750975330012,0.050905209197586,8 in,"Early transient, 0-3 h",Early,secondary-supported
moisture_8in,post3_mid_storage,clean_stageII_48h,8,13.5,2410,0.6293184290255175,0.640826527478182,0.3831863659325708,0.4295578223384281,-0.0265990254200457,-0.0868048357992199,8 in,Post-3 h mid-storage,Mid-storage,secondary-supported
moisture_8in,post3_late_storage,clean_stageII_48h,10,16.0,3652,0.357097503115373,0.415169442483079,0.2540404580924437,0.2696847637378258,-0.0237040579868851,-0.0363238098525066,8 in,Post-3 h low-storage tail,Low-storage,secondary-supported
moisture_12in,early_0_3h,clean_stageII_48h,3,22.0,672,0.6383870331037393,0.6551933214439486,0.4927082781525883,0.4662125431205182,0.0556186123769683,0.0493490196378073,12 in,"Early transient, 0-3 h",Early,exploratory/table only
moisture_12in,post3_mid_storage,clean_stageII_48h,2,18.5,546,0.5823134938536231,0.5823134938536231,0.3622007379703938,0.3622007379703938,0.0254599765076814,0.0254599765076814,12 in,Post-3 h mid-storage,Mid-storage,exploratory/table only
moisture_12in,post3_late_storage,clean_stageII_48h,3,22.0,982,0.8002403487824965,0.7423389159571562,0.4774186894489078,0.4202691474383342,0.0106735283018926,-0.0214266845016801,12 in,Post-3 h low-storage tail,Low-storage,exploratory/table only
moisture_16in,early_0_3h,clean_stageII_48h,2,18.5,444,0.9007625547607292,0.9007625547607292,0.7019627903520375,0.7019627903520375,-0.0080044825758154,-0.0080044825758154,16 in,"Early transient, 0-3 h",Early,exploratory/table only
moisture_16in,post3_mid_storage,clean_stageII_48h,2,9.5,175,0.98411776094283,0.98411776094283,0.7672256889154273,0.7672256889154273,0.0742612284541422,0.0742612284541422,16 in,Post-3 h mid-storage,Mid-storage,exploratory/table only
moisture_16in,post3_late_storage,clean_stageII_48h,2,18.5,564,0.6829956547600102,0.6829956547600102,0.4301980932593423,0.4301980932593423,0.0813326196248688,0.0813326196248688,16 in,Post-3 h low-storage tail,Low-storage,exploratory/table only
moisture_20in,early_0_3h,clean_stageII_48h,1,31.0,372,0.8636520583002589,0.8636520583002589,0.6219537648683544,0.6219537648683544,0.0355955909448827,0.0355955909448827,20 in,"Early transient, 0-3 h",Early,exploratory/table only
moisture_20in,post3_mid_storage,clean_stageII_48h,0,,0,,,,,,,20 in,Post-3 h mid-storage,Mid-storage,not fitted
moisture_20in,post3_late_storage,clean_stageII_48h,1,31.0,337,0.1189422388314818,0.1189422388314818,0.0991012845788245,0.0991012845788245,-0.0038920393872543,-0.0038920393872543,20 in,Post-3 h low-storage tail,Low-storage,exploratory/table only
