site_id,events_sum,events_min,points_sum,rmse_median_mm,rmse_max_mm,rmse_spread_mm,mae_median_mm,abs_bias_median_mm,rmse_early_0_3h_mm,rmse_post3_mid_storage_mm,rmse_post3_late_storage_mm,representative_score,rank
275,116,36,1829,0.6277216193905684,0.9236010258547432,0.421624710697485,0.3202206964678405,0.0915409481093554,0.5019763151572583,0.9236010258547432,0.6277216193905684,0.2173042277291392,1
130,119,37,1357,0.4556713702895906,0.913539598801922,0.5013471829195671,0.3086426215192332,0.0236012679117756,0.4121924158823549,0.913539598801922,0.4556713702895906,0.39086082642223074,2
335,144,43,2179,0.7846385380031288,0.8779427131093784,0.46063161722299145,0.3970412992558768,0.0307613071813965,0.7846385380031288,0.417311095886387,0.8779427131093784,0.44633065510439424,3
460,104,32,2012,0.5721263741833084,0.6619142285278099,0.2600895132050278,0.4189518146354644,0.0719781217056477,0.6619142285278099,0.5721263741833084,0.4018247153227821,0.5584068776822597,4
140,188,54,2353,0.8104071204384129,1.0443736564688737,0.580763231861217,0.3446486598261081,0.1366210861415045,0.8104071204384129,0.4636104246076566,1.0443736564688737,0.5799790671269558,5
125,212,66,3690,0.8858518044769598,1.085638823945251,0.5213265756258707,0.5896145386568956,0.1188242953731294,0.8858518044769598,0.5643122483193803,1.085638823945251,0.6970357213091477,6
440,139,37,1747,0.9183951324162868,1.3072130427676962,0.7698244667166166,0.4074517612223077,0.113928917902678,1.3072130427676962,0.9183951324162868,0.5373885760510796,0.8096501945782156,7
430,122,34,1687,0.7151676317889224,1.4952793226286394,1.1907329941450113,0.4487967699233733,0.0544310834967033,0.7151676317889224,1.4952793226286394,0.304546328483628,0.8536704027520321,8
311,222,72,3311,0.6392750942041141,1.5836676478069662,0.985169598869916,0.3442873338484362,0.2508098504048603,0.5984980489370503,1.5836676478069662,0.6392750942041141,0.8892536274428178,9
110,117,33,1357,0.4356229593336054,0.4973176446656336,0.08365778602386081,0.2639843615819247,0.020608288553059,0.4973176446656336,0.4136598586417728,0.4356229593336054,0.9048222234924954,10
315,82,26,1246,0.3889217284151022,0.6217010295657766,0.23418886726481736,0.2402689333819389,0.0144073030219302,0.3889217284151022,0.6217010295657766,0.3875121623009592,0.9951007081151769,11
480,129,35,2575,0.7458155560464769,1.8084319027434708,1.3645284807477345,0.5656558635431671,0.0916590094660064,1.8084319027434708,0.7458155560464769,0.4439034219957363,1.1312458650733033,12
160,232,70,2833,0.960555223038454,1.0099968048305428,0.19936243633755446,0.455531434865083,0.1072696216495725,1.0099968048305428,0.960555223038454,0.8106343684929883,1.1348646105741027,13
450,272,70,4035,0.8531362174777312,1.5989472429260985,0.7526726338127587,0.5739465891574006,0.1160148976264413,1.5989472429260985,0.8531362174777312,0.8462746091133397,1.1350914807071726,14
340,71,23,1344,0.2778794653583331,0.5973925876150104,0.3608886062940536,0.2087817308666293,0.0188519778826538,0.5973925876150104,0.2365039813209567,0.2778794653583331,1.1583627459020467,15
420,206,64,2960,0.890276654267191,1.4616963954779008,0.9980786313009681,0.3622582054630443,0.0747902019713842,1.4616963954779008,0.4636177641769327,0.890276654267191,1.1853474915206215,16
150,50,14,762,0.6305017015775699,1.7275345793965051,1.3934092588140494,0.4399418397394122,0.0346531957323513,0.6305017015775699,1.7275345793965051,0.3341253205824558,1.4006113027434404,17
455,283,87,3484,1.1626919536611406,1.2306787381038486,0.583290803414075,0.5991344757797853,0.2017623439012362,1.2306787381038486,1.1626919536611406,0.6473879346897736,1.4043312776344012,18
170,275,81,3551,1.0393300178990932,1.329577486668299,0.863269163456132,0.7389325479240317,0.0900385926163007,0.466308323212167,1.0393300178990932,1.329577486668299,1.4204810196435707,19
490,92,28,1683,0.6123523279180577,2.2837375951054413,1.70110675613246,0.4930765263692351,0.1255271334106855,2.2837375951054413,0.6123523279180577,0.5826308389729813,1.5558040454308975,20
230,55,17,872,0.242461823833325,0.3252345828671151,0.2172662348989948,0.181782516641879,0.0492237242025837,0.3252345828671151,0.1079683479681203,0.242461823833325,1.5595526990951127,21
280,56,18,755,0.2082535932923145,0.3839540201511668,0.187400681774165,0.1607071117585709,0.0398358471551686,0.3839540201511668,0.2082535932923145,0.1965533383770018,1.6049695368408232,22
121,38,12,654,0.2082190039337136,0.4618157833149486,0.26596770487775223,0.1399794912822162,0.0485125019040008,0.4618157833149486,0.1958480784371964,0.2082190039337136,1.7116729784563307,23
425,27,9,361,0.3442163902111447,0.3556685212999996,0.07449194364834189,0.2465621218459606,0.0225951759789772,0.3442163902111447,0.3556685212999996,0.2811765776516577,1.8446375574214304,24
270,197,58,2521,1.5231779810092592,1.5850444352264452,0.3019148938712721,0.4376303753448621,0.1976966196638848,1.5231779810092592,1.283129541355173,1.5850444352264452,2.0536048798034203,25
260,184,60,2684,1.1617342027771935,2.6915933542038117,2.3455363894125605,0.7390188208953014,0.251254945601201,2.6915933542038117,1.1617342027771935,0.3460569647912511,3.0878269221669763,26
303,167,49,3489,0.8123803857828251,3.6792634674432136,3.0049255678853632,0.6144182691383612,0.1078866165593324,3.6792634674432136,0.6743378995578503,0.8123803857828251,3.3185856148918096,27
