start_year,layer,events,stations,associated_24h_rate,associated_48h_rate,interrupted_rate,median_duration_h,median_drop_mm,median_trim3_r2,stageII_like_rate,early_transient_heavy_rate,during_vpd_mean,clean_24h_rate,clean_48h_rate,stageII_clean_48h_rate
2023,moisture_12in,195,27,0.6923076923076923,0.8358974358974359,0.30256410256410254,4.75,1.3817599999999999,0.9946445478143049,0.358974358974359,0.5487179487179488,0.6452130868524298,0.4256410256410256,0.5487179487179488,0.13333333333333333
2023,moisture_16in,173,25,0.653179190751445,0.7803468208092486,0.2138728323699422,2.0,0.9651999999999976,0.9966409591742793,0.2254335260115607,0.7572254335260116,0.7106936964375424,0.45664739884393063,0.5838150289017341,0.12716763005780346
2023,moisture_20in,173,16,0.3815028901734104,0.5028901734104047,0.12716763005780346,1.5,0.9144000000000005,0.9877405382638083,0.11560693641618497,0.8728323699421965,0.6283406522043615,0.26011560693641617,0.37572254335260113,0.08670520231213873
2023,moisture_4in,1189,39,0.7140454163162321,0.8250630782169891,0.23380992430613962,7.25,1.7678399999999996,0.9939214221485899,0.5256518082422204,0.35576114381833474,0.744068059471736,0.4878048780487805,0.5946173254835997,0.33052985702270815
2023,moisture_8in,364,33,0.7032967032967034,0.771978021978022,0.35714285714285715,6.25,1.6052799999999987,0.9945049455007673,0.45604395604395603,0.42032967032967034,0.6074630904786743,0.3598901098901099,0.42032967032967034,0.18956043956043955
2024,moisture_12in,213,24,0.7652582159624414,0.8544600938967136,0.323943661971831,3.75,1.2191999999999972,0.9956555969511611,0.3474178403755869,0.5868544600938967,0.7507308505010932,0.4460093896713615,0.5352112676056338,0.18309859154929578
2024,moisture_16in,212,22,0.6084905660377359,0.75,0.2028301886792453,2.0,1.0109199999999987,0.9975027814675779,0.2169811320754717,0.7594339622641509,0.7335773643138338,0.41509433962264153,0.5471698113207547,0.10849056603773585
2024,moisture_20in,317,17,0.334384858044164,0.47318611987381703,0.10410094637223975,1.0,0.8026400000000002,0.9942216931202766,0.12302839116719243,0.8517350157728707,0.7751186618882668,0.24290220820189273,0.3753943217665615,0.0694006309148265
2024,moisture_4in,1673,36,0.6371787208607292,0.7722653915122535,0.17931858936043035,7.75,1.5951200000000014,0.9938554982886624,0.5821876867901973,0.28153018529587565,0.9402086880461274,0.46682606096832036,0.5983263598326359,0.3407053197848177
2024,moisture_8in,343,29,0.6822157434402333,0.760932944606414,0.3673469387755102,6.25,1.7271999999999998,0.9952437888907322,0.5131195335276968,0.3965014577259475,0.8639251215883635,0.3323615160349854,0.40233236151603496,0.20116618075801748
2025,moisture_12in,216,17,0.6064814814814815,0.7916666666666666,0.20833333333333334,3.0,1.021080000000003,0.9934376709933671,0.27314814814814814,0.6435185185185185,0.8426327072297227,0.4212962962962963,0.5925925925925926,0.13425925925925927
2025,moisture_16in,249,15,0.4899598393574297,0.7469879518072289,0.12048192771084337,2.25,0.9550400000000003,0.9925625500357961,0.14859437751004015,0.7951807228915663,0.860847190629805,0.3895582329317269,0.6345381526104418,0.0642570281124498
2025,moisture_20in,109,12,0.5596330275229358,0.7155963302752294,0.1651376146788991,2.25,1.0159999999999982,0.9904958926907199,0.13761467889908258,0.7981651376146789,0.7203216160217525,0.41284403669724773,0.5504587155963303,0.05504587155963303
2025,moisture_4in,1414,34,0.669024045261669,0.7998585572842999,0.15487977369165487,7.75,1.6459199999999994,0.9942030881877278,0.5721357850070722,0.3104667609618105,0.9643481019421462,0.5233380480905233,0.6492220650636492,0.3592644978783593
2025,moisture_8in,307,21,0.755700325732899,0.8566775244299675,0.3517915309446254,6.0,1.8796000000000035,0.9948799313890357,0.46579804560260585,0.44625407166123776,0.7269030275950566,0.42671009771986973,0.5179153094462541,0.21498371335504887
