subset,layer,events,sites,points,ccc,rmse_mm,mae_mm,bias_mm
all_events,moisture_12in,589,17,13389,0.9500923227780043,2.1679347098014445,1.1477153104939994,-0.017363564974405755
all_events,moisture_16in,575,10,8639,0.9859671472416971,1.3110089582419817,0.6988631343073511,-0.10656789860041292
all_events,moisture_20in,560,9,6157,0.8604718117005195,3.7831597251617954,2.2603348523616926,-1.8489094294972375
all_events,moisture_4in,4252,38,135858,0.9411009437050291,2.267170608842855,1.133904352022921,-0.3206198201526221
all_events,moisture_8in,973,22,32793,0.9838553641571647,1.268179812579374,0.5727194079999183,-0.024241275439939404
clean_48h,moisture_12in,296,7,5609,0.943754643899378,1.8717221741606838,1.099452242043849,-0.12513719940065027
clean_48h,moisture_16in,317,2,3613,0.8400886792768285,2.3237278184745866,1.5395613169821278,-0.15545710217931358
clean_48h,moisture_20in,221,4,2145,0.7883260729655679,2.5002345763191802,1.35449440851529,0.37101226137515303
clean_48h,moisture_4in,2594,35,85897,0.9766509328850461,1.4195220725860842,0.6836364761236686,0.03627295891261463
clean_48h,moisture_8in,401,15,12792,0.9937717424910122,0.767371803347997,0.4096944416100211,0.008826347482428455
clean_stageII_48h,moisture_12in,56,3,2200,0.9922760342205401,0.6534142529700032,0.40487927457805384,0.014259838144001632
clean_stageII_48h,moisture_16in,37,2,1183,0.9882107490728228,0.7990651047287306,0.5101176907606725,0.024343188138883122
clean_stageII_48h,moisture_20in,31,1,709,0.88169975515894,0.6309378246801608,0.37343291034427606,0.016826435201680773
clean_stageII_48h,moisture_4in,1434,30,59438,0.9880274928746305,1.0311889792929103,0.4981635191479534,0.041027423346512076
clean_stageII_48h,moisture_8in,153,10,7898,0.996179016684678,0.6140007852500327,0.3812174546213639,-0.04262157656885794
clean_stageII_48h_no405,moisture_12in,30,2,1141,0.9908539616659862,0.639496801764784,0.37128669998204006,0.04717471929573649
clean_stageII_48h_no405,moisture_16in,24,1,776,0.9615506835852737,0.5090194477508426,0.3245301644017202,-0.01831753925715083
clean_stageII_48h_no405,moisture_20in,31,1,709,0.88169975515894,0.6309378246801608,0.37343291034427606,0.016826435201680773
clean_stageII_48h_no405,moisture_4in,1390,29,58001,0.9879392419100839,1.0401049350506053,0.5029652043980791,0.04077666922336026
clean_stageII_48h_no405,moisture_8in,132,9,7068,0.9961908481730757,0.6302780978191592,0.3863158617553888,-0.04516025871658099
clean_stageII_48h_site_balanced,moisture_12in,56,3,2200,0.9922760342205401,0.6534142529700032,0.40487927457805384,0.014259838144001632
clean_stageII_48h_site_balanced,moisture_16in,37,2,1183,0.9882107490728228,0.7990651047287306,0.5101176907606725,0.024343188138883122
clean_stageII_48h_site_balanced,moisture_20in,30,1,685,0.8934268140170271,0.6192429514940646,0.38158369261925523,-0.06641735199800113
clean_stageII_48h_site_balanced,moisture_4in,782,30,32541,0.9928912904325558,0.7753092600727105,0.36236636111439435,0.013978661158482938
clean_stageII_48h_site_balanced,moisture_8in,153,10,7898,0.996179016684678,0.6140007852500327,0.3812174546213639,-0.04262157656885794
